zipcode,city,state,country
02911,North Providence,RI,US
02912,Providence,RI,US
02914,East Providence,RI,US
02915,Riverside,RI,US
02916,Rumford,RI,US
02917,Smithfield,RI,US
02918,Providence,RI,US
02919,Johnston,RI,US
02920,Cranston,RI,US
02921,Cranston,RI,US
02940,Providence,RI,US
03031,Amherst,NH,US
03032,Auburn,NH,US
03033,Brookline,NH,US
03034,Candia,NH,US
03036,Chester,NH,US
03037,Deerfield,NH,US
03038,Derry,NH,US
03040,East Candia,NH,US
03041,East Derry,NH,US
03042,Epping,NH,US
03043,Francestown,NH,US
03044,Fremont,NH,US
03045,Goffstown,NH,US
03046,Dunbarton,NH,US
03047,Greenfield,NH,US
03048,Greenville,NH,US
03049,Hollis,NH,US
03051,Hudson,NH,US
03052,Litchfield,NH,US
03053,Londonderry,NH,US
03054,Merrimack,NH,US
03055,Milford,NH,US
03057,Mont Vernon,NH,US
03060,Nashua,NH,US
03061,Nashua,NH,US
03062,Nashua,NH,US
03063,Nashua,NH,US
03064,Nashua,NH,US
03070,New Boston,NH,US
03071,New Ipswich,NH,US
03073,North Salem,NH,US
03076,Pelham,NH,US
03077,Raymond,NH,US
03079,Salem,NH,US
03082,Lyndeborough,NH,US
03084,Temple,NH,US
03086,Wilton,NH,US
03087,Windham,NH,US
